p17,59,1836
p18,61,1837
p19,67,2579
p20,71,2601
p21,73,2626
p22,79,2641
p23,83,2675
p24,89,2819
p25,97,2846
p26,101,3001
p27,103,3020
p28,107,3074
p29,109,3111
p30,113,3390
p31,127,4085
p32,131,4468
p33,137,4571
p34,139,4590
p35,149,5550
p36,151,5557
p37,157,5711
p38,163,5750
p39,167,6434
p40,173,6794
p41,179,6821
p42,181,6858
p43,191,7729
p44,193,7824
p45,197,7983
p46,199,8031
p47,211,8094
p48,223,8459
p49,227,8688
p50,229,8697
p51,233,8711
p52,239,8931
p53,241,9061
p54,251,9173
p55,257,9930
p56,263,10298
p57,269,10365
p58,271,10413
p59,277,10446
p60,281,10457
p61,283,10505
p62,293,10932
p63,307,11316
p64,311,11568
p65,313,11570
p66,317,11601
p67,331,14013
p68,337,14027
p69,347,14434
p70,349,14499
p71,353,14843
p72,359,15244
p73,367,16053
p74,373,16391
p75,379,16750
p76,383,16784
p77,389,17014
p78,397,17388
p79,401,17389
p80,409,18045
p81,419,18253
p82,421,18281
p83,431,20146
p84,433,20223
p85,439,20266
p86,443,20794
p87,449,20887
p88,457,22593
p89,461,22892
p90,463,22911
p91,467,23051
p92,479,23183
p93,487,24451
p94,491,24723
p95,499,25403
p96,503,25589
p97,509,25601
p98,521,26027
p99,523,26110
p100,541,26810
p101,547,26881
p102,557,27151
p103,563,27213
p104,569,27234
p105,571,27362
p106,577,27554
p107,587,28338
p108,593,28637
p109,599,28651
p110,601,28773
p111,607,28782
p112,613,28923
p113,617,29164
p114,619,29254
p115,631,29295
p116,641,30646
p117,643,30735
p118,647,31145
p119,653,31218
p120,659,31639
p121,661,31784
p122,673,31944
p123,677,31950
p124,683,32181
p125,691,32751
p126,701,32796
p127,709,33404
p128,719,33408
p129,727,33903
p130,733,33922
p131,739,34014
p132,743,34085
p133,751,34763
p134,757,35266
p135,761,35330
p136,769,36282
p137,773,36392
p138,787,36585
p139,797,37204
p140,809,37420
p141,811,37422
p142,821,38722
p143,823,38769
p144,827,38970
p145,829,39017
p146,839,40584
p147,853,41180
p148,857,41369
p149,859,41558
p150,863,41735
p151,877,42959
p152,881,42978
p153,883,43080
p154,887,43085
p155,907,44873
p156,911,45180
p157,919,45794
p158,929,46337
p159,937,47711
p160,941,48217
p161,947,48317
p162,953,48343
p163,967,50477
p164,971,50920
p165,977,51125
p166,983,51284
p167,991,52836
p168,997,52853
p169,1009,52926
p170,1013,52995
p171,1019,53481
p172,1021,53512
p173,1031,54454
p174,1033,54630
p175,1039,54729
p176,1049,55275
p177,1051,55291
p178,1061,55657
p179,1063,55721
p180,1069,56350
p181,1087,56423
p182,1091,56503
p183,1093,56527
p184,1097,57021
p185,1103,57086
p186,1109,57260
p187,1117,57551
p188,1123,57618
p189,1129,57654
p190,1151,58752
p191,1153,58835
p192,1163,60076
p193,1171,60576
p194,1181,61700
p195,1187,61964
p196,1193,62023
p197,1201,62255
p198,1213,62306
p199,1217,62447
